500	1
600	1
700	1
800	2
900	2
1000	1
1100	2
1200	2
1300	3
1400	3
1500	5
1600	2
1700	3
1800	5
1900	3
2000	2
2100	4
2200	4
2300	3
2400	4
2500	3
2600	4
2700	5
2800	6
2900	3
3000	5
3100	4
3200	4
3300	4
3400	7
3500	4
3600	8
3700	5
3800	8
3900	6
4000	5
4100	5
4200	8
4300	10
4400	9
4500	9
4600	7
4700	9
4800	9
4900	8
5000	11
5100	58
5200	12
5300	12
5400	15
5500	13
5600	12
5700	10
5800	8
5900	8
6000	11
6100	10
6200	9
6300	16
6400	13
6500	15
6600	11
6700	12
6800	10
6900	10
7000	10
7100	9
7200	10
7300	13
7400	11
7500	10
7600	9
7700	9
7800	9
7900	9
8000	13
8100	15
8200	16
8300	11
8400	23
8500	13
8600	16
8700	17
8800	15
8900	12
9000	14
9100	21
9200	13
9300	13
9400	15
9500	19
9600	16
9700	15
9800	14
9900	16
10000	16
