500	0
600	1
700	1
800	1
900	2
1000	1
1100	2
1200	2
1300	2
1400	3
1500	3
1600	4
1700	4
1800	2
1900	5
2000	4
2100	5
2200	3
2300	4
2400	6
2500	7
2600	6
2700	6
2800	6
2900	5
3000	7
3100	6
3200	6
3300	8
3400	6
3500	7
3600	7
3700	8
3800	9
3900	6
4000	8
4100	8
4200	10
4300	11
4400	12
4500	10
4600	9
4700	10
4800	14
4900	11
5000	11
5100	12
5200	44
5300	10
5400	11
5500	14
5600	15
5700	10
5800	13
5900	10
6000	9
6100	12
6200	13
6300	16
6400	10
6500	16
6600	12
6700	13
6800	12
6900	13
7000	12
7100	11
7200	10
7300	13
7400	13
7500	16
7600	11
7700	12
7800	11
7900	12
8000	13
8100	13
8200	17
8300	16
8400	13
8500	15
8600	16
8700	37
8800	15
8900	16
9000	15
9100	20
9200	18
9300	16
9400	14
9500	17
9600	14
9700	22
9800	16
9900	18
10000	15
